course_id,sub_discipline_id,created_at
196,5,2021-04-02 18:24:58
1133,5,2021-04-02 18:24:58
133,5,2021-04-02 18:24:58
1300,5,2021-04-02 18:24:58
1404,5,2021-04-02 18:24:58
171,5,2021-04-02 18:24:58
172,5,2021-04-02 18:24:58
173,5,2021-04-02 18:24:58
122,5,2021-04-02 18:24:58
119,5,2021-04-02 18:24:58
174,5,2021-04-02 18:24:58
1839,5,2021-04-02 18:24:58
1848,5,2021-04-02 18:24:58
1139,5,2021-04-02 18:24:58
642,5,2021-04-02 18:24:58
1170,5,2021-04-02 18:24:58
161,5,2021-04-02 18:24:58
166,5,2021-04-02 18:24:58
167,5,2021-04-02 18:24:58
168,5,2021-04-02 18:24:58
169,5,2021-04-02 18:24:58
170,5,2021-04-02 18:24:58
1134,5,2021-04-02 18:24:58
148,5,2021-04-02 18:24:58
2068,5,2021-04-02 18:24:58
152,5,2021-04-02 18:24:58
154,5,2021-04-02 18:24:58
221,5,2021-04-02 18:24:58
1160,5,2021-04-02 18:24:58
503,7,2021-04-02 18:24:58
504,7,2021-04-02 18:24:58
570,7,2021-04-02 18:24:58
572,7,2021-04-02 18:24:58
571,7,2021-04-02 18:24:58
1796,7,2021-04-02 18:24:58
1643,7,2021-04-02 18:24:58
573,7,2021-04-02 18:24:58
574,7,2021-04-02 18:24:58
717,4,2021-04-02 18:24:58
719,4,2021-04-02 18:24:58
723,4,2021-04-02 18:24:58
720,4,2021-04-02 18:24:58
722,4,2021-04-02 18:24:58
724,4,2021-04-02 18:24:58
763,4,2021-04-02 18:24:58
946,4,2021-04-02 18:24:58
969,4,2021-04-02 18:24:58
818,4,2021-04-02 18:24:58
819,4,2021-04-02 18:24:58
908,4,2021-04-02 18:24:58
929,4,2021-04-02 18:24:58
60,4,2021-04-02 18:24:58
67,4,2021-04-02 18:24:58
71,4,2021-04-02 18:24:58
76,4,2021-04-02 18:24:58
80,4,2021-04-02 18:24:58
99,4,2021-04-02 18:24:58
100,4,2021-04-02 18:24:58
101,4,2021-04-02 18:24:58
102,4,2021-04-02 18:24:58
677,2,2021-04-02 18:24:58
692,2,2021-04-02 18:24:58
747,2,2021-04-02 18:24:58
721,2,2021-04-02 18:24:58
760,2,2021-04-02 18:24:58
782,2,2021-04-02 18:24:58
797,2,2021-04-02 18:24:58
809,2,2021-04-02 18:24:58
774,2,2021-04-02 18:24:58
934,2,2021-04-02 18:24:58
1104,2,2021-04-02 18:24:58
1117,2,2021-04-02 18:24:58
1171,2,2021-04-02 18:24:58
1172,2,2021-04-02 18:24:58
1142,2,2021-04-02 18:24:58
1178,2,2021-04-02 18:24:58
1181,2,2021-04-02 18:24:58
1548,47,2021-04-02 18:24:58
1594,47,2021-04-02 18:24:58
1628,47,2021-04-02 18:24:58
1642,47,2021-04-02 18:24:58
1685,47,2021-04-02 18:24:58
1697,47,2021-04-02 18:24:58
1786,47,2021-04-02 18:24:58
2960,47,2021-04-02 18:24:58
3240,47,2021-04-02 18:24:58
2737,47,2021-04-02 18:24:58
3315,47,2021-04-02 18:24:58
1331,47,2021-04-02 18:24:58
1474,47,2021-04-02 18:24:58
3492,49,2021-04-02 18:24:58
3472,49,2021-04-02 18:24:58
3477,49,2021-04-02 18:24:58
3410,49,2021-04-02 18:24:58
3555,49,2021-04-02 18:24:58
4024,49,2021-04-02 18:24:58
3476,49,2021-04-02 18:24:58
3634,49,2021-04-02 18:24:58
3455,49,2021-04-02 18:24:58
3488,49,2021-04-02 18:24:58
3428,49,2021-04-02 18:24:58
3432,49,2021-04-02 18:24:58
3447,49,2021-04-02 18:24:58
3458,49,2021-04-02 18:24:58
3425,49,2021-04-02 18:24:58
3438,49,2021-04-02 18:24:58
3419,49,2021-04-02 18:24:58
3545,49,2021-04-02 18:24:58
3564,49,2021-04-02 18:24:58
2341,33,2021-04-02 18:24:58
