student_id,school_id,department_id
197,117.0,
37,1582.0,
41,3364.0,
42,117.0,1.0
116,1807.0,16626.0
136,117.0,17.0
157,142.0,
679,2435.0,21771.0
698,117.0,
1168,117.0,
1365,117.0,1.0
1647,117.0,1.0
2727,117.0,
3135,117.0,
3213,117.0,
3261,117.0,
3675,117.0,
4212,117.0,1.0
5398,117.0,
5832,117.0,1.0
6301,1579.0,23.0
6305,117.0,
6365,117.0,
6411,117.0,1.0
6443,117.0,1.0
6521,117.0,1.0
6974,117.0,1.0
6981,117.0,1.0
7139,117.0,
7218,117.0,
7370,117.0,
7881,117.0,
8810,140.0,
8850,1579.0,23.0
8862,1579.0,
8968,1579.0,
8975,1579.0,
8990,1579.0,
8992,1579.0,
8995,1579.0,
9005,1579.0,23.0
9014,1579.0,
9016,1579.0,
9022,1579.0,23.0
9033,1579.0,23.0
9040,1579.0,
9044,1579.0,
9049,1579.0,32745.0
9076,1579.0,
9197,1579.0,23.0
9201,1579.0,
9218,1579.0,
9222,1579.0,
9233,1579.0,
9241,1579.0,23.0
9243,1579.0,
9274,1579.0,
9346,1579.0,
9431,117.0,
9514,117.0,
9529,117.0,1.0
9553,117.0,
9554,117.0,1.0
9575,117.0,1.0
9576,117.0,
9577,117.0,
9578,117.0,1.0
9579,117.0,1.0
9589,117.0,1.0
9592,117.0,
9595,117.0,1.0
9596,117.0,1.0
9597,117.0,1.0
9600,117.0,
9603,117.0,1.0
9606,117.0,
9622,117.0,
9627,117.0,1.0
9628,117.0,
9629,117.0,1.0
9632,117.0,
9633,117.0,
9634,117.0,
9635,117.0,
9636,117.0,
9638,117.0,
9654,117.0,1.0
9656,117.0,
9659,117.0,
9661,117.0,
9671,117.0,
9673,117.0,1.0
9676,117.0,
9678,117.0,1.0
9682,117.0,
9702,117.0,1.0
9706,117.0,1.0
9707,117.0,
9709,117.0,1.0
9713,117.0,
9715,117.0,1.0
9722,117.0,
9723,117.0,
9755,117.0,
9787,117.0,
9789,117.0,
10148,117.0,
10158,117.0,
10162,117.0,1.0
