student_id,brief_introduction,gender,created_at
197,创新实践教育的践行者,0.0,2013-09-28 16:29:37
37,,0.0,2013-09-30 21:19:25
41,,0.0,2013-09-30 21:19:25
42,,1.0,2013-09-30 21:19:25
116,,0.0,2013-09-30 21:19:25
136,,1.0,2013-09-30 21:19:25
157,,0.0,2013-09-30 21:19:25
679,,0.0,2014-04-02 10:35:29
698,,0.0,2014-04-04 09:30:21
1168,,0.0,2014-04-17 17:07:42
1365,,0.0,2014-05-07 00:08:13
1647,,0.0,2014-05-09 23:47:25
2727,,0.0,2014-05-26 13:05:25
3135,,0.0,2014-08-16 18:06:26
3213,自强不息，厚德载物,0.0,2014-09-19 16:25:20
3261,,0.0,2014-09-21 09:13:16
3675,Learning is the eyes of the mind,0.0,2014-10-01 09:24:26
4212,http://lqchen.github.io,0.0,2014-10-16 17:22:04
5398,,0.0,2014-11-12 16:40:57
5832,,0.0,2014-11-14 23:34:13
6301,,0.0,2014-12-04 20:47:25
6305,,0.0,2014-12-04 22:24:17
6365,,0.0,2014-12-06 11:38:39
6411,,1.0,2014-12-07 19:17:38
6443,,1.0,2014-12-07 23:51:33
6521,,0.0,2014-12-22 09:00:03
6974,,0.0,2015-03-04 21:04:13
6981,,0.0,2015-03-04 21:16:56
7139,小小的我可以容下大大的世界,1.0,2015-03-12 12:31:51
7218,,1.0,2015-03-20 14:23:28
7370,,0.0,2015-04-05 23:16:51
7881,,0.0,2015-04-14 07:56:58
8810,北航ACT,0.0,2015-09-07 17:27:25
8850,,0.0,2015-09-09 23:00:45
8862,,0.0,2015-09-09 23:13:37
8968,someone like you,0.0,2015-09-14 11:53:36
8975,黄达理，,0.0,2015-09-14 13:53:07
8990,,0.0,2015-09-14 16:07:52
8992,,0.0,2015-09-14 16:20:00
8995,,0.0,2015-09-14 16:57:51
9005,,0.0,2015-09-14 19:01:50
9014,,0.0,2015-09-14 20:08:57
9016,,1.0,2015-09-14 20:09:30
9022,,0.0,2015-09-14 20:24:13
9033,15级计算机科学与技术2班-杜睿捷,1.0,2015-09-14 20:42:11
9040,,1.0,2015-09-14 20:59:04
9044,,0.0,2015-09-14 21:20:05
9049,,0.0,2015-09-14 22:07:28
9076,nothing is impossible!,1.0,2015-09-15 13:01:20
9197,,0.0,2015-09-20 16:41:15
9201,,0.0,2015-09-20 18:24:20
9218,,0.0,2015-09-20 20:46:39
9222,,0.0,2015-09-20 21:55:08
9233,,0.0,2015-09-20 22:46:33
