department_id,name
1,计算机学院
3,空军预警学院计算机教研室
4,计算机教研室
6,计算机教研室
9,基础部
10,商学院
13,航天科学与工程学院
14,理学院
15,机电工程与自动化学院
17,电子科学与工程学院
18,信息系统与管理学院
19,光电科学与工程学院
21,指挥军官基础教育学院
22,数学与计算科学学院
23,信息工程学院
24,兴湘学院
25,包装与材料工程学院
26,包装设计艺术学院
27,冶金与材料工程学院
28,土木工程学院
29,计算机学院
30,电气与信息工程学院
31,交通工程学院
32,生命科学与化学学院
33,机械工程学院
34,城市与环境学院
35,理学院
36,商学院
37,经济与贸易学院
43,国际学院
44,创新创业学院
45,科技学院
50,外国语学院
52,文学与新闻学院
60,计算机学院
61,电子工程学院
69,前沿交叉学科学院
71,军事基础教育学院
72,信息工程学院
79,公共管理学院
80,机械工程学院
81,物理与光电工程学院
82,土木工程与力学学院
83,环境与资源学院
94,网络工程
95,化学院
105,信息科学与技术学院
112,数学与计算机学院
113,平台与技术部
116,计算机工程与应用数学学院
126,计算机科学与工程学院
127,电子信息与电气工程
128,海外事业三部
129,电子信息与电气工程学院
132,材料科学与工程学院
138,电信学院
142,信息工程学院
143,机电学部
146,计算机与通信学院
148,信息科学与工程学院
162,软件与信息工程学院
166,新闻与传播学院
169,计算机学院
170,理工系
174,计算机科学与应用数学学院
175,音乐学院
176,计算机科学与技术学院
177,工程与设计学院
178,计算机学院
179,资源与环境科学学院
180,理学院
181,公共计算机教学与研究中心
182,计算机与通信工程学院
186,互联网学院
188,大学计算机教学部
191,电子信息学院
195,信息工程学院
198,通讯与信息学院
199,计算机与信息工程学院
202,信息工程学院
205,数学与计算科学学院
207,资源环境与安全工程学院
210,计算机
211,电子与信息工程学院
217,信息科学与工程学院
218,计算机科学与工程学院
219,计算机科学与信息工程学院
221,软件学院
226,青岛校区五系
227,国际关系学院
229,信息通信系
230,信息通信系
232,航空基础学院
234,装备管理与无人机工程学院
235,软件学院
236,经济与管理学院
237,数学与统计学院
238,能源与动力工程学院
239,软件学院
240,信息科学与工程学院
241,化学与生物工程学院
242,信息技术系
243,计算机与信息工程学院
244,信息科学与工程学院
248,信息科学与工程学院
250,理学院
254,土木工程学院
255,信息学院
257,计算机学院
259,信息与电子工程学院
260,计算机学院
262,信息科学与工程学院
264,机械与运载工程学院
266,理学院
267,电气信息学院
269,电气与信息工程学院
270,机电工程学院
272,电子信息工程学院
281,电子与信息工程学院
282,计算机科学与软件工程
283,软件学院
284,计算机科学与技术学院
286,信息工程学院
289,研究生院
295,人工智能学院
321,数学与统计学院
324,继续教育学院
332,教育科学学院
334,物理与电子科学学院
335,道德文化研究院
336,土木工程学院
339,信息与电气工程学院
341,物理与电子科学学院
344,人文学院
345,外国语学院
348,商学院
352,工程系
353,信息系
354,文法系
355,经管系
356,软件学院
357,计算机科学与工程学院
369,信息科学与工程学院
379,交通运输工程学院
381,水利工程学院
386,外国语学院
393,建筑与规划学院
399,电气与计算机学院
401,艺术设计学院
413,水声工程学院
420,自动化学院
421,计算机科学与技术学院
422,国家保密学院
423,软件学院
424,信息与通信工程学院
454,机械工程学院
457,信息与计算机学院
466,物理与光电工程学院
471,经济管理学院
481,电子信息工程学院
495,电气工程与自动化学院
498,大学外语教学部
504,软件学院
523,航天学院
524,电子与信息工程学院
526,材料科学与工程学院
530,经济与管理学院
537,计算机科学与技术学院/国家示范性软件学院
569,经济学院
584,计算机科学学院
597,建筑与艺术学院
598,商学院
604,化学化工学院
605,机电工程学院
606,能源科学与工程学院
609,交通运输工程学院
610,土木工程学院
612,地球科学与信息物理学院
613,资源与安全工程学院
619,湘雅护理学院
623,数学科学学院
624,物理学院
631,信息科学技术学院
633,计算机科学技术研究所
642,艺术学院
674,北京国际数学研究中心
686,北航学院
692,计算机学院
705,物理科学与核能工程学院
723,网络空间安全学院
725,物流信息学院
727,强化培养学院
759,林学院
799,师范学院
806,数学与计算科学学院
821,市政与测绘工程学院
822,材料与化学工程学院
836,计算机学院
912,文理学院
923,机械工程学院
933,汽车与轨道交通学院
950,信息科学与工程学院
965,会计学院
971,数学与统计学院
975,大数据与互联网创新研究院
982,工学院
987,公共管理与法学学院
990,信息科学技术学院
997,电气与电子工程学院
1000,计算机学院
1011,核科学技术学院
1012,核资源工程学院
1013,计算机学院/软件学院
1018,数理学院
1029,船山学院
1032,电子与信息工程学院
1055,机器人学院
1057,电气与信息工程学院
1062,生物学院
1068,计算机学院
1077,经济与管理学院
1085,食品与化学工程学院
1086,城乡建设学院
1087,机械与能源工程学院
1088,电气工程学院
1090,国际学院
1091,医学院
1108,信息科学与工程学院
1117,中医学院
1121,管理与信息工程学院
1142,商学院
1153,软件学院
1172,会计学系
1174,财务与审计系
1175,工商管理系
1184,经济学院
1187,建筑工程学院
1201,管理学院
1203,哲学与社会发展学院
1207,数学学院
1208,物理学院
1237,软件学院（齐鲁软件学院）
1265,计算机科学与技术学院
1303,大数据与智慧化事业部
1305,第一临床医学院
1306,计算机工程学院
1307,电子与信息学院
1340,信息学院
1347,建筑学院
1350,机械工程学院
1352,信息科学技术学院
1354,理学院
1356,医学院
1359,交叉信息研究院
1365,马克思主义学院
1377,电子信息工程学院
1378,计算机与信息技术学院
1379,经济管理学院
1380,交通运输学院
1381,土木建筑工程学院
1382,机械与电子控制工程学院
1383,电气工程学院
1384,理学院
1387,软件学院
1388,建筑与艺术学院
1390,土木与资源工程学院
1396,计算机与通信工程学院
1397,数理学院
1399,东凌经济管理学院
1403,高等工程师学院
1406,化学工程学院
1409,信息科学与技术学院
1421,信息与通信工程学院
1429,理学院
1443,农学院
1452,信息与电气工程学院
1462,林学院
1472,理学院
1480,中医学院
1593,统计与数学学院、数学教学部
1634,法学院
1674,机电工程学院
1773,光电学院
1774,信息与电子学院/微电子学院
1776,计算机学院
1780,数学与统计学院
1788,数学科学学院
1789,物理科学学院
1791,工程科学学院
1792,人工智能学院
1793,化学科学学院
1794,化学工程学院
1797,未来技术学院
1798,地球与行星科学学院
1800,生命科学学院
1802,计算机与控制学院
1803,网络空间安全学院
1804,电子电气与通信工程学院
1819,机械工程与应用电子技术学院
1820,信息学部
1823,应用数理学院
1824,材料科学与工程学院
1838,国际学院
1842,樊恭烋学院
1844,计算机学院
1882,基础医学院 
1939,机电工程学院
1940,仪器科学与光电工程学院
1942,信息与通信工程学院
1943,计算机学院
1945,信息管理学院
1966,电视学院
2040,电子与通信工程系
2092,计算机系
2229,导演系
2236,表演学院
2253,信息学部
2324,管理系
2337,安全防范系
2342,电子信息学院
2436,机械工程学院
2438,电气自动化与信息工程学院
2440,建筑工程学院
2446,理学院
2484,机械工程学院
2485,电子信息与自动化学院
2494,计算机科学与信息工程学院
2564,软件学院
2567,机械工程学院
2610,理学院
2733,电气学院
2752,电子信息学院
2764,文学院
2779,电子信息工程学院
2800,能源与环境工程学院
2804,信息与电气工程学院
2820,人工智能与数据科学学院
2954,信息科学与工程学院
2955,软件学院
3007,计算机学院
3058,信息科学与工程学院
3134,文学与传播学院
3137,数学与计算机学院
3183,软件学院
3222,教育学院
3223,计算机科学与工程学院
3231,数学与信息科技学院
3346,电子信息工程系
3372,信息工程系 
3549,社会科学部
3593,机械工程系
3626,经济与管理学院
3627,法学院
3630,数学科学学院
3636,软件学院
3639,自动化系
3648,机电工程学院
3649,机械工程学院
3652,信息与通信工程学院
3654,大数据学院(计算机科学与技术学院)
3660,软件学院
3668,朔州校区
3706,物理与电子科学学院
3712,建筑与测绘工程学院
3718,信息管理学院
3726,文化传播学院
3746,计算机系
3763,信息技术与工程学院
3772,中文系
3780,计算机系
3788,数学与信息技术学院 
3824,计算机科学技术系 
3825,物理系
3853,计算机工程系
3861,会计学院 
3863,商学院 
3864,计算机信息工程学院
3894,信息学院
3911,电子信息工程系
3928,信息工程系
3934,计算机系
4084,计算机学院（软件学院）
4251,教育科学学院
4257,生命科学学院
4258,计算机学院
4289,计算机与信息工程系
4361,研究生院
4370,信息与通信工程学院
4371,控制科学与工程学院
4372,计算机科学与技术学院
4416,软件工程系
4450,机械工程学院
4469,研究生学院
4479,理学院
4485,研究生院
4508,电气与控制工程学院
4582,信息学院
4611,理学院
4653,信息工程学院
4660,研究生学院
4679,计算机与信息技术学院
4780,计算机科学与工程学院
4867,经济与管理学院
4918,计算机与软件学院
4947,中文系 
5203,物理学院
5206,电子科学与工程学院
5208,计算机科学与技术学院
5209,软件学院
5236,地球探测科学与技术学院
5292,计算机科学与工程学院
5335,计算机科学技术学院
5482,音乐学院
5661,经济管理学院
5666,机电工程学院
5670,信息与计算机工程学院
5686,俄语学院
5713,计算机科学与技术学院
5716,软件与微电子学院 
5725,荣成学院
5753,计算机与信息技术学院
5822,计算机科学与信息工程学院
5835,材料科学与工程学院
5871,计算机与信息工程学院
5899,计算机与信息技术学院
5933,计算机系
5942,土木与建筑工程学院
5948,电气与信息工程学院
6016,文化旅游学院
6046,机械工程学院
6137,信息学院
6200,复旦学院
6214,数学科学学院
6219,信息科学与工程学院
6221,软件学院
6269,软件学院
6303,船舶海洋与建筑工程学院
6305,电子信息与电气工程学院
6357,信息科学与技术学院
6386,计算机科学与软件工程学院
6420,能源与动力工程学院
6421,光电信息与计算机工程学院
6423,机械工程学院
6461,信息学院
6485,信息与机电工程学院
6499,理学院
6506,计算机工程与科学学院
6569,计算机科学与信息工程学院 
6570,经济与管理学院
6615,管理学院  
6627,计算机与信息工程学院
6732,商务信息技术学院
6733,经济与管理学院
6734,信息与机电学院
6750,文学院
6754,法学院
6758,信息管理学院
6760,数学系
6762,天文与空间科学学院
6764,计算机科学与技术系
6765,电子科学与工程学院
6766,现代工程与应用科学学院
6769,地理与海洋科学学院
6770,大气科学学院
6773,工程管理学院
6774,匡亚明学院
6776,软件学院
6780,建筑学院
6781,机械工程学院
6788,计算机科学与工程学院
6794,电气工程学院
6806,软件学院
6824,计算机科学与技术学院
6855,食品学院
6859,物联网工程学院
6864,设计学院
6873,国际教育学院、 北美学院
6894,电子工程与光电技术学院
6895,计算机科学与工程学院
6911,文学院
6984,计算机科学与技术学院
7018,计算机学院 软件学院 网络空间安全学院（大数据研究院）
7057,机械工程学院
7065,计算机科学与通信工程学院
7066,理学院
7069,管理学院
7073,文学院
7098,电子信息学院
7100,计算机科学与技术学院
7133,智慧教育学院
7173,信息工程学院
7215,应用气象学院
7310,信息工程学院
7312,公安管理系
7316,计算机信息与网络安全系
7354,电子信息工程学院
7379,信电工程学院
7440,电子工程学院
7450,机械工程学院
7452,计算机工程学院
7496,商学院
7542,机械技术学院
7544,物联网技术学院
7747,国际商学院
7867,航旅学院
7918,机电工程学院
7991,机电与交通系
8039,数学科学学院
8044,电气工程学院
