school_id,name,province
117,国防科技大学,湖南
118,北京大学,北京
119,中国人民大学,北京
120,清华大学,北京
121,北京交通大学,北京
122,北京科技大学,北京
123,北京化工大学,北京
124,北京邮电大学,北京
125,中国农业大学,北京
126,北京林业大学,北京
127,北京中医药大学,北京
128,北京师范大学,北京
129,北京外国语大学,北京
130,北京语言大学,北京
131,中央财经大学,北京
132,对外经济贸易大学,北京
133,中国政法大学,北京
135,中国石油大学（北京）,北京
136,中央民族大学,北京
139,北京体育大学,北京
140,北京航空航天大学,北京
141,北京理工大学,北京
142,中国科学院大学,北京
143,北京工业大学,北京
144,北方工业大学,北京
145,北京工商大学,北京
146,北京建筑大学,北京
147,首都医科大学,北京
149,首都经济贸易大学,北京
150,北京信息科技大学,北京
151,北京联合大学,北京
152,中国传媒大学,北京
155,中央美术学院,北京
156,中央戏剧学院,北京
157,北京电子科技学院,北京
158,外交学院,北京
159,中国劳动关系学院,北京
161,中华女子学院,北京
162,北京服装学院,北京
164,北京石油化工学院,北京
166,首都体育学院,北京
168,北京物资学院,北京
171,北京电影学院,北京
173,北京城市学院,北京
175,北京警察学院,北京
177,北京工业职业技术学院,北京
179,北京电子科技职业学院,北京
180,北京吉利学院,北京
181,北京社会管理职业学院,北京
183,北京体育职业学院,北京
184,北京交通运输职业学院,北京
187,北京交通职业技术学院,北京
188,北京农业职业学院,北京
189,北京政法职业学院,北京
190,北京财贸职业学院,北京
191,北京北大方正软件职业技术学院,北京
192,北京经贸职业学院,北京
193,北京经济技术职业学院,北京
195,北京汇佳职业学院,北京
201,北京劳动保障职业学院,北京
202,南开大学,天津
203,天津大学,天津
204,中国民航大学,天津
205,天津科技大学,天津
206,天津工业大学,天津
208,天津医科大学,天津
210,天津师范大学,天津
211,天津职业技术师范大学,天津
212,天津外国语大学,天津
213,天津商业大学,天津
214,天津财经大学,天津
215,天津城建大学,天津
216,天津农学院,天津
219,天津美术学院,天津
220,天津天狮学院,天津
221,天津医学高等专科学校,天津
222,天津市职业大学,天津
223,天津商务职业学院,天津
227,天津工程职业技术学院,天津
228,天津青年职业学院,天津
229,天津渤海职业技术学院,天津
230,天津电子信息职业技术学院,天津
231,天津机电职业技术学院,天津
232,天津现代职业技术学院,天津
234,天津轻工职业技术学院,天津
236,天津开发区职业技术学院,天津
238,天津交通职业学院,天津
239,天津冶金职业技术学院,天津
240,天津石油职业技术学院,天津
241,天津城市职业学院,天津
243,天津工艺美术职业学院,天津
245,天津生物工程职业技术学院,天津
246,天津海运职业学院,天津
247,河北大学,河北
248,河北工程大学,河北
249,河北工业大学,河北
252,河北农业大学,河北
253,河北医科大学,河北
256,燕山大学,河北
257,河北经贸大学,河北
259,中央司法警官学院,河北
260,防灾科技学院,河北
261,华北科技学院,河北
263,河北建筑工程学院,河北
264,河北北方学院,河北
265,承德医学院,河北
266,保定学院,河北
268,唐山师范学院,河北
269,廊坊师范学院,河北
270,衡水学院,河北
272,邯郸学院,河北
274,沧州师范学院,河北
