teacher_id,gender,technical_title
1,0.0,教授
12,0.0,副教授
5,0.0,部门管理者
193,0.0,教授
10,0.0,讲师
6,0.0,讲师
11,0.0,讲师
217,0.0,教授
659,1.0,副教授
662,0.0,教授
678,0.0,副教授
689,0.0,教授
2383,0.0,副教授
2528,0.0,
3039,0.0,教授
3081,0.0,教授
3608,0.0,讲师
3948,0.0,教授
7165,0.0,教授
7318,1.0,教授
8686,1.0,教授
8825,0.0,
8926,1.0,副教授
9105,1.0,副教授
9380,0.0,
11284,0.0,讲师
11602,1.0,助教
11642,0.0,教授
11879,1.0,教授
12397,0.0,讲师
13060,1.0,讲师
13484,1.0,副教授
13891,0.0,讲师
15177,0.0,
15399,1.0,讲师
15582,1.0,讲师
15583,0.0,教授
15668,0.0,教授
15673,0.0,
15712,0.0,
15715,0.0,
15740,0.0,讲师
16092,0.0,讲师
17858,0.0,教授
17859,0.0,工程师
17883,0.0,教授
17907,0.0,教授
18318,0.0,
20574,0.0,讲师
21061,1.0,
21345,1.0,
21904,0.0,
24084,0.0,
24701,0.0,工程师
24727,1.0,助教
24733,0.0,
24734,0.0,副教授
24736,1.0,助教
24746,1.0,
24747,0.0,
24755,0.0,
24758,0.0,讲师
24759,0.0,助教
24761,0.0,
24774,0.0,
24791,1.0,讲师
24798,1.0,
24807,0.0,
24832,0.0,
24850,1.0,助教
25903,0.0,助教
26013,0.0,助教
26886,0.0,
26995,0.0,
27967,0.0,高级工程师
28064,0.0,
28637,0.0,讲师
29065,1.0,
29197,1.0,讲师
29213,0.0,教授
29263,0.0,讲师
29313,0.0,
29519,0.0,副教授
29609,0.0,高级工程师
29641,0.0,
30144,0.0,
30224,0.0,
30304,0.0,高级工程师
30317,0.0,
30348,1.0,
30392,0.0,
30406,0.0,讲师
30459,1.0,
30721,0.0,讲师
31544,0.0,工程师
32076,0.0,工程师
32714,1.0,讲师
32942,1.0,副教授
33906,0.0,工程师
34441,1.0,讲师
34478,0.0,
34645,0.0,
34808,1.0,讲师
34899,0.0,
34901,0.0,
34945,0.0,
34976,0.0,
34997,0.0,
35133,1.0,副教授
35401,0.0,
35970,0.0,
